"Pos","Region","Poblacion","Superficie","Fecha","Nuevos.Sintomaticos","Nuevos.Asintomaticos","Nuevos.No.Notificados","Nuevos.Confirmados","Tasa.Incidencia","Casos.Confirmados","Nuevos.Fallecidos","Casos.Fallecidos","Letalidad","Activos.Confirmados","Activos.Probables","Probables.Acumulados","Recuperados.Confirmados","Fecha.Primer.Contagiado","Periodo.Infeccioso","Pacientes.UCI","Examenes.PCR","Examenes.PCR.Acumulados","Tasa.Positividad","I.Movilidad","Residencias.Sanitarias","Cupos.Residencias.Sanitarias","Usuarios.Residencias.Sanitarias","Vacunados.Primera.Dosis","Vacunados.Segunda.Dosis","Vacunados.Tercera.Dosis","Vacunados.Cuarta.Dosis","Vacunados.Unica.Dosis"
"1","Arica y Parinacota","252110","16873","2022-04-14","11","5","2","18","7.1397405894252","55196","0","807","1.4620624682948","98","0","3439","54250","2020-03-19","757","1","483","627592","3.7267080745342","0","1","24","5","0","0","0","0","0"
"2","Tarapaca","382773","42225","2022-04-14","17","5","3","25","6.5312861669972","79296","1","1085","1.368290960452","89","0","10393","78096","2020-03-23","753","3","1962","902149","1.2742099898063","0","2","147","43","0","0","0","0","0"
"3","Antofagasta","691854","126049","2022-04-14","20","18","10","48","6.937879957332","122096","1","1748","1.4316603328528","272","1","6822","120047","2020-03-14","762","15","1515","1629580","3.1683168316832","0","2","87","10","0","0","0","0","0"
"4","Atacama","314709","75176","2022-04-14","32","21","7","60","19.065231690228","65431","3","580","0.88642997967324","212","0","1743","64663","2020-03-14","762","4","697","721782","8.6083213773314","0","1","30","12","0","0","0","0","0"
"5","Coquimbo","836096","40579","2022-04-14","75","33","22","130","15.548453766075","125334","2","1658","1.322865303908","437","0","9383","123254","2020-03-19","757","11","1576","1097080","8.248730964467","0","1","95","19","0","0","0","0","0"
"6","Valparaiso","1960170","16396","2022-04-14","223","31","113","367","18.722865873878","302969","12","5541","1.8288999864673","1295","1","50200","296524","2020-03-16","760","38","4368","2646318","8.4020146520146","0","1","204","15","0","0","0","0","0"
"7","Metropolitana","8125072","15403","2022-04-14","689","167","308","1164","14.326026895516","1345810","11","28129","2.090116732674","4993","6","161563","1314223","2020-03-04","772","188","18265","12526079","6.3728442376129","0","3","526","74","0","0","0","0","0"
"8","OHiggins","991063","16387","2022-04-14","86","49","24","159","16.043379684238","148773","7","2495","1.6770516155485","516","0","14803","145924","2020-03-19","757","9","1155","1176838","13.766233766234","0","1","24","14","0","0","0","0","0"
"9","Maule","1131939","30296","2022-04-14","159","24","40","223","19.700708253713","237535","4","2870","1.208242995769","760","3","10644","233903","2020-03-03","773","22","2952","1787175","7.5542005420054","0","4","291","71","0","0","0","0","0"
"10","Nuble","511551","13178","2022-04-14","73","13","21","107","20.916780536056","99363","2","1085","1.0919557581796","347","0","10179","97894","2020-03-12","764","8","1066","791940","10.037523452158","0","3","88","12","0","0","0","0","0"
"11","Biobio","1663696","23890","2022-04-14","161","53","72","286","17.190640597802","350624","12","4239","1.2089874053117","1129","3","35964","345120","2020-03-09","767","30","5369","3481114","5.3268765133172","0","3","421","122","0","0","0","0","0"
"12","Araucania","1014343","31842","2022-04-14","102","12","35","149","14.689311209325","214611","10","2547","1.1867984399681","486","0","11319","211599","2020-03-16","760","12","1830","1475889","8.1420765027322","0","2","174","45","0","0","0","0","0"
"13","Los Rios","405835","18429","2022-04-14","25","14","17","56","13.798711298927","105562","1","1206","1.1424565658097","232","0","6034","104082","2020-03-16","760","3","908","782989","6.1674008810573","0","1","120","11","0","0","0","0","0"
"14","Los Lagos","891440","48583","2022-04-14","41","23","15","79","8.8620658709504","193912","2","2295","1.1835265481249","276","0","16331","191200","2020-03-07","769","14","2800","2340175","2.8214285714286","0","1","50","8","0","0","0","0","0"
"15","Aysen","107297","108494","2022-04-14","11","10","0","21","19.571842642385","24799","1","179","0.7218032985201","91","0","1794","24504","2020-03-14","762","1","380","259656","5.5263157894737","0","1","25","5","0","0","0","0","0"
"16","Magallanes","178362","132033","2022-04-14","35","1","9","45","25.229589262287","51068","0","701","1.3726795645022","169","0","3294","50132","2020-03-17","759","2","503","457242","8.9463220675944","0","2","41","1","0","0","0","0","0"
"17","Total","19458310","755839","2022-04-14","1760","479","698","2937","15.093808249535","3522422","69","57167","1.6229458026324","11402","14","353905","3455457","2020-03-03","773","361","45829","32703598","6.4086059045583","0","29","2347","467","0","0","0","0","0"
"1","Arica y Parinacota","252110","16873","2022-04-13","8","6","1","15","5.949783824521","55178","0","807","1.4625394178839","126","0","3439","54205","2020-03-19","756","1","845","627109","1.7751479289941","0","1","24","5","0","0","0","0","0"
"2","Tarapaca","382773","42225","2022-04-13","15","2","3","20","5.2250289335977","79271","0","1084","1.3674609882555","95","0","10393","78068","2020-03-23","752","3","951","900187","2.1030494216614","0","2","147","43","0","0","0","0","0"
"3","Antofagasta","691854","126049","2022-04-13","24","22","16","62","8.9614282782206","122046","0","1747","1.4314274945512","310","2","6824","119963","2020-03-14","761","15","2177","1628065","2.8479559026183","0","2","87","11","0","0","0","0","0"
"4","Atacama","314709","75176","2022-04-13","17","27","8","52","16.523200798198","65369","0","577","0.88268139332099","216","0","1744","64603","2020-03-14","761","4","685","721085","7.5912408759124","0","1","30","6","0","0","0","0","0"
"5","Coquimbo","836096","40579","2022-04-13","58","17","22","97","11.601538579302","125203","0","1656","1.3226520131307","451","1","9383","123112","2020-03-19","756","11","1084","1095504","8.9483394833948","0","1","95","15","0","0","0","0","0"
"6","Valparaiso","1960170","16396","2022-04-13","228","25","121","374","19.079977757031","302550","0","5529","1.8274665344571","1199","2","50200","296226","2020-03-16","759","39","3091","2641950","12.099644128114","0","1","204","14","0","0","0","0","0"
"7","Metropolitana","8125072","15403","2022-04-13","695","126","359","1180","14.522948227413","1344453","4","28118","2.0914081786422","4950","4","161563","1312958","2020-03-04","771","200","15058","12507814","7.8363660512684","0","3","526","81","0","0","0","0","0"
"8","OHiggins","991063","16387","2022-04-13","94","23","10","127","12.814523395586","148612","0","2488","1.6741582106425","503","0","14802","145790","2020-03-19","756","10","420","1175683","30.238095238095","0","1","24","11","0","0","0","0","0"
"9","Maule","1131939","30296","2022-04-13","151","12","20","183","16.166948925693","237319","0","2866","1.2076572040165","730","3","10644","233729","2020-03-03","772","23","1068","1784223","17.134831460674","0","4","291","66","0","0","0","0","0"
"10","Nuble","511551","13178","2022-04-13","53","8","13","74","14.46581083802","99257","0","1083","1.0911069244486","341","0","10180","97800","2020-03-12","763","10","639","790874","11.580594679186","0","3","88","13","0","0","0","0","0"
"11","Biobio","1663696","23890","2022-04-13","124","27","88","239","14.365605254806","350350","0","4227","1.2065077779364","1173","1","35962","344825","2020-03-09","766","31","3062","3475745","7.805355976486","0","3","421","141","0","0","0","0","0"
"12","Araucania","1014343","31842","2022-04-13","70","5","40","115","11.337387846123","214436","0","2537","1.1831035833535","485","0","11319","211444","2020-03-16","759","10","1052","1474059","10.931558935361","0","2","174","42","0","0","0","0","0"
"13","Los Rios","405835","18429","2022-04-13","29","20","9","58","14.291522416746","105497","0","1205","1.1422125747652","253","0","6034","104002","2020-03-16","759","3","441","782081","13.151927437642","0","1","120","10","0","0","0","0","0"
"14","Los Lagos","891440","48583","2022-04-13","48","16","7","71","7.9646414789554","193457","0","2293","1.1852763146332","297","1","16330","190735","2020-03-07","768","15","1252","2337375","5.6709265175719","0","1","50","8","0","0","0","0","0"
"15","Aysen","107297","108494","2022-04-13","8","12","1","21","19.571842642385","24777","0","178","0.7184082011543","82","0","1794","24495","2020-03-14","761","2","147","259276","14.285714285714","0","1","25","3","0","0","0","0","0"
"16","Magallanes","178362","132033","2022-04-13","42","0","12","54","30.275507114744","50982","0","701","1.3749950963085","152","0","3294","50066","2020-03-17","758","2","369","456739","14.634146341463","0","2","41","4","0","0","0","0","0"
"17","Total","19458310","755839","2022-04-13","1664","348","730","2742","14.091665720199","3518800","4","57098","1.6226554507218","11363","14","353905","3452063","2020-03-03","772","379","32341","32657769","8.478402028385","0","29","2347","473","0","0","0","0","0"
"1","Arica y Parinacota","252110","16873","2022-04-12","8","10","0","18","7.1397405894252","55163","0","807","1.462937113645","218","0","3439","54098","2020-03-19","755","1","330","626264","5.4545454545454","0","1","24","8","223490","213447","164954","27865","10223"
"2","Tarapaca","382773","42225","2022-04-12","13","2","3","18","4.7025260402379","79251","0","1084","1.3678060844658","101","0","10393","78042","2020-03-23","751","3","1333","899236","1.3503375843961","0","2","147","37","342073","321990","247025","33219","18960"
"3","Antofagasta","691854","126049","2022-04-12","11","7","1","19","2.7462441497773","121981","0","1747","1.4321902591387","335","0","6821","119873","2020-03-14","760","16","1703","1625888","1.1156782149149","0","2","87","15","629230","608127","484595","70004","21121"
"4","Atacama","314709","75176","2022-04-12","17","3","2","22","6.9905849530836","65317","0","577","0.88338411133396","233","0","1744","64534","2020-03-14","760","3","159","720400","13.836477987421","0","1","30","5","300534","289780","226523","38025","7369"
"5","Coquimbo","836096","40579","2022-04-12","52","5","16","73","8.7310548071035","125102","0","1656","1.3237198446068","473","0","9382","122989","2020-03-19","755","13","556","1094420","13.129496402878","0","1","95","18","773523","751290","600334","109813","24165"
"6","Valparaiso","1960170","16396","2022-04-12","121","10","28","159","8.1115413459037","302106","0","5529","1.8301523306389","1182","0","50199","295800","2020-03-16","758","42","1584","2638859","10.037878787879","0","1","204","18","1823317","1774544","1452092","342525","51447"
"7","Metropolitana","8125072","15403","2022-04-12","334","84","263","681","8.3814641888712","1343314","12","28114","2.092883718922","5401","5","161567","1311415","2020-03-04","770","214","13390","12492756","5.0858849887976","0","3","526","75","6817319","6637916","5488419","1176960","225747"
"8","OHiggins","991063","16387","2022-04-12","35","8","6","49","4.9441861919979","148485","0","2488","1.6755901269489","543","0","14802","145623","2020-03-19","755","12","359","1175263","13.649025069638","0","1","24","7","954046","930814","760402","155795","23348"
"9","Maule","1131939","30296","2022-04-12","75","6","5","86","7.5975825552437","237136","0","2866","1.208589164024","772","1","10644","233504","2020-03-03","771","24","484","1783155","17.768595041322","0","4","291","55","1066341","1040109","856704","173520","31169"
"10","Nuble","511551","13178","2022-04-12","40","6","4","50","9.7741965121757","99183","0","1083","1.0919209945253","383","0","10180","97684","2020-03-12","762","9","354","790235","14.124293785311","0","3","88","14","495319","485647","405790","87966","11284"
"11","Biobio","1663696","23890","2022-04-12","99","4","37","140","8.4149988940287","350137","1","4227","1.2072417368059","1403","1","35962","344382","2020-03-09","765","33","1758","3472683","7.9635949943117","0","3","421","156","1508216","1472223","1220147","262264","43896"
"12","Araucania","1014343","31842","2022-04-12","28","9","30","67","6.6052607451326","214314","0","2537","1.1837770747595","525","0","11319","211282","2020-03-16","758","16","597","1473007","11.222780569514","0","2","174","36","940166","915412","719077","139394","28859"
"13","Los Rios","405835","18429","2022-04-12","19","0","13","32","7.8849778851011","105433","0","1205","1.142905921296","265","0","6034","103926","2020-03-16","758","3","272","781640","11.764705882353","0","1","120","15","377358","367420","299083","60189","13139"
"14","Los Lagos","891440","48583","2022-04-12","23","2","7","32","3.5896975679799","193240","0","2293","1.1866073276754","320","0","16330","190495","2020-03-07","767","21","700","2336123","4.5714285714286","0","1","50","9","819939","795929","638686","109920","38118"
"15","Aysen","107297","108494","2022-04-12","6","6","0","12","11.183910081363","24756","0","178","0.71901761189207","82","0","1794","24474","2020-03-14","760","2","73","259129","16.438356164384","0","1","25","3","93446","91034","78588","13913","10702"
"16","Magallanes","178362","132033","2022-04-12","14","0","6","20","11.213150783239","50917","0","701","1.3767503977061","128","0","3294","50025","2020-03-17","757","2","145","456370","13.793103448276","0","2","41","3","156081","153093","138834","32518","14991"
"17","Total","19458310","755839","2022-04-12","895","162","421","1478","7.5957264531195","3515878","13","57094","1.6238902487515","12364","7","353904","3448188","2020-03-03","771","414","23797","32625428","6.2108669159978","0","29","2347","474","17320398","16848775","13781253","2833890","574538"
"1","Arica y Parinacota","252110","16873","2022-04-11","12","5","0","17","6.7430883344572","55141","0","807","1.463520792151","209","0","3439","54085","2020-03-19","754","1","202","625934","8.4158415841584","0","1","24","8","223463","213398","164780","27515","10223"
"2","Tarapaca","382773","42225","2022-04-11","12","5","3","20","5.2250289335977","79232","0","1084","1.3681340872375","118","0","10393","78006","2020-03-23","750","3","1283","897903","1.5588464536243","0","2","147","47","342008","321890","246744","32727","18960"
"3","Antofagasta","691854","126049","2022-04-11","25","20","11","56","8.094193283554","121963","1","1747","1.4324016300025","469","0","6821","119721","2020-03-14","759","16","1648","1624185","3.3980582524272","0","2","87","22","629189","608045","484225","68681","21121"
"4","Atacama","314709","75176","2022-04-11","13","8","9","30","9.5326158451141","65294","0","577","0.88369528593745","277","0","1744","64467","2020-03-14","759","4","581","720241","5.1635111876076","0","1","30","4","300512","289742","226379","37446","7369"
"5","Coquimbo","836096","40579","2022-04-11","37","10","14","61","7.2958129210043","125026","0","1656","1.3245244989042","590","0","9381","122796","2020-03-19","754","12","1420","1093864","4.2957746478873","0","1","95","19","773479","751198","600002","108267","24165"
"6","Valparaiso","1960170","16396","2022-04-11","124","16","56","196","9.9991327282838","301909","4","5529","1.8313465315708","1477","0","50199","295308","2020-03-16","757","43","3121","2637275","6.280038449215","0","1","204","19","1823210","1774276","1450709","336309","51447"
"7","Metropolitana","8125072","15403","2022-04-11","471","116","462","1049","12.910654822505","1342567","16","28102","2.0931543826118","6547","8","161566","1309522","2020-03-04","769","219","17546","12479366","5.978570614385","0","3","526","119","6816994","6637344","5485092","1158270","225747"
"8","OHiggins","991063","16387","2022-04-11","56","14","25","95","9.5856671069347","148437","3","2488","1.6761319617077","700","0","14802","145418","2020-03-19","754","13","909","1174904","10.451045104511","0","1","24","9","954014","930737","759849","153173","23348"
"9","Maule","1131939","30296","2022-04-11","123","39","5","167","14.753445194485","237050","8","2866","1.2090276313014","982","1","10644","233208","2020-03-03","770","18","1541","1782671","10.837118754056","0","4","291","77","1066289","1039992","855852","170687","31169"
"10","Nuble","511551","13178","2022-04-11","43","6","22","71","13.879359047289","99133","1","1083","1.0924717298982","470","0","10180","97547","2020-03-12","761","9","757","789881","9.3791281373844","0","3","88","16","495281","485605","405370","86800","11284"
"11","Biobio","1663696","23890","2022-04-11","105","28","77","210","12.622498341043","350000","5","4226","1.2074285714286","1826","1","35962","343822","2020-03-09","764","34","2921","3470925","7.1893187264635","0","3","421","177","1508147","1472089","1219444","258398","43896"
"12","Araucania","1014343","31842","2022-04-11","60","15","29","104","10.252942052146","214246","2","2537","1.1841527963183","628","1","11319","211111","2020-03-16","757","14","1568","1472410","6.6326530612245","0","2","174","35","940132","915340","718513","137572","28859"
"13","Los Rios","405835","18429","2022-04-11","17","2","24","43","10.595439033105","105401","0","1205","1.1432529103139","302","0","6034","103857","2020-03-16","757","3","643","781368","6.6874027993779","0","1","120","19","377330","367392","298872","59538","13139"
"14","Los Lagos","891440","48583","2022-04-11","32","12","15","59","6.6185048909629","193207","0","2293","1.186810001708","402","0","16330","190380","2020-03-07","766","22","1494","2335423","3.9491298527443","0","2","110","17","819893","795837","638231","108506","38118"
